Division,Season,Team,Club,No,Player,Role,Born,Height,Born Place,Nat. Sport.,Note1,Note2,,,,
A1,2022/2023,Valsa Group Modena,Modena,3,POPE Lorenzo Antonio Larry,Centrale,2001,205,NZL,AUS,-,-,,,,
A1,2022/2023,Valsa Group Modena,Modena,4,MARECHAL Nicolas,Schiacciatore,1987,198,FRA,FRA,dal 11/10/2022,-,,,,
A1,2022/2023,Valsa Group Modena,Modena,5,GOLLINI Riccardo,Libero,2000,194,MO,ITA,-,-,,,,
A1,2022/2023,Valsa Group Modena,Modena,6,SANGUINETTI Giovanni,Centrale,2000,202,BO,ITA,-,-,,,,
A1,2022/2023,Valsa Group Modena,Modena,7,STANKOVIC Dragan,Centrale,1985,205,SRB,ITA,-,-,,,,
A1,2022/2023,Valsa Group Modena,Modena,9,NGAPETH Earvin,Schiacciatore,1991,192,FRA,FRA,-,-,,,,
A1,2022/2023,Valsa Group Modena,Modena,10,SALA Lorenzo,Schiacciatore,2002,200,TN,ITA,-,-,,,,
A1,2022/2023,Valsa Group Modena,Modena,12,LAGUMDZIJA Adis,Schiacciatore,1999,211,BIH,TUR,-,-,,,,
A1,2022/2023,Valsa Group Modena,Modena,14,ROUSSEAUX Tomas,Schiacciatore,1994,199,BEL,BEL,dal 30/01/2023,-,,,,
A1,2022/2023,Valsa Group Modena,Modena,15,BOSSI Elia,Centrale,1994,202,TS,ITA,-,-,,,,
A1,2022/2023,Valsa Group Modena,Modena,16,SALSI Nicola,Palleggiatore,1997,186,RE,ITA,-,-,,,,
A1,2022/2023,Valsa Group Modena,Modena,21,ROSSINI Salvatore,Libero,1986,184,LT,ITA,-,-,,,,
A1,2022/2023,Valsa Group Modena,Modena,24,MALAVASI Andrea,Schiacciatore,2005,194,MO,ITA,-,-,,,,
A1,2022/2023,Valsa Group Modena,Modena,90,RINALDI Tommaso,Schiacciatore,2001,200,CN,ITA,-,-,,,,
A1,2022/2023,Valsa Group Modena,Modena,11,KRICK Tobias,Centrale,1998,211,GER,GER,fino al 15/04/2023,-,,,,
A1,2022/2023,Vero Volley Monza,Monza,1,VISIC Petar,Palleggiatore,1998,198,CRO,CRO,-,-,,,,
A1,2022/2023,Vero Volley Monza,Monza,2,MARTTILA Luka,Schiacciatore,2003,197,FIN,FIN,dal 24/09/2022,-,,,,
A1,2022/2023,Vero Volley Monza,Monza,3,PIRAZZOLI Matteo,Libero,2000,188,RA,ITA,-,-,,,,
A1,2022/2023,Vero Volley Monza,Monza,5,MAGLIANO Lorenzo,Schiacciatore,2005,201,TO,ITA,-,-,,,,
A1,2022/2023,Vero Volley Monza,Monza,6,KRELING Fernando,Palleggiatore,1996,185,BRA,BRA,-,-,,,,
A1,2022/2023,Vero Volley Monza,Monza,7,FEDERICI Filippo,Libero,2000,182,AN,ITA,-,-,,,,
A1,2022/2023,Vero Volley Monza,Monza,8,MAAR Stephen,Schiacciatore,1994,201,CAN,CAN,-,-,,,,
A1,2022/2023,Vero Volley Monza,Monza,9,GROZER Georg,Schiacciatore,1984,200,HUN,GER,-,-,,,,
A1,2022/2023,Vero Volley Monza,Monza,10,ROSSI Gianluca,Centrale,2003,202,MB,ITA,dal 25/11/2022,proveniente da Pool Libertas Cantù,,,,
A1,2022/2023,Vero Volley Monza,Monza,11,GALASSI Gianluca,Centrale,1997,201,TN,ITA,-,-,,,,
A1,2022/2023,Vero Volley Monza,Monza,12,HERNANDEZ Yosvany,Schiacciatore,1991,201,CUB,CUB,dal 10/01/2023,-,,,,
A1,2022/2023,Vero Volley Monza,Monza,13,BERETTA Thomas,Centrale,1990,205,MI,ITA,-,-,,,,
A1,2022/2023,Vero Volley Monza,Monza,15,DAVYSKIBA Vlad,Schiacciatore,2001,197,BLR,BLR,-,-,,,,
A1,2022/2023,Vero Volley Monza,Monza,17,ZIMMERMANN Jan,Palleggiatore,1993,190,GER,GER,dal 18/10/2022,-,,,,
A1,2022/2023,Vero Volley Monza,Monza,18,DI MARTINO Gabriele,Centrale,1997,199,RM,ITA,-,-,,,,
A1,2022/2023,Vero Volley Monza,Monza,31,SZWARC Arthur,Schiacciatore,1995,207,CAN,POL,-,-,,,,
A1,2022/2023,Vero Volley Monza,Monza,2,KARYAGIN Denis,Schiacciatore,2002,202,BUL,BUL,fino al 03/09/2022,-,,,,
A1,2022/2023,WithU Verona,Verona,1,CORTESIA Lorenzo,Centrale,1999,202,TV,ITA,-,-,,,,
A1,2022/2023,WithU Verona,Verona,3,MAGALINI Giulio,Schiacciatore,2001,196,VR,ITA,-,-,,,,
A1,2022/2023,WithU Verona,Verona,4,CAVALCANTI Gustavo,Schiacciatore,2001,193,POR,POR,dal 02/03/2023,-,,,,
A1,2022/2023,WithU Verona,Verona,5,SAPOZHKOV Maksim,Schiacciatore,2000,220,RUS,RUS,-,-,,,,
A1,2022/2023,WithU Verona,Verona,7,VIEIRA DE OLIVEIRA Raphael,Palleggiatore,1979,190,BRA,BRA,-,-,,,,
A1,2022/2023,WithU Verona,Verona,9,KEITA Noumory,Schiacciatore,2001,206,MLI,MLI,-,-,,,,
A1,2022/2023,WithU Verona,Verona,11,GROZDANOV Aleks,Centrale,1998,205,BUL,BUL,-,-,,,,
A1,2022/2023,WithU Verona,Verona,12,JENSEN Mads Kyed,Schiacciatore,1999,209,DEN,DEN,-,-,,,,
A1,2022/2023,WithU Verona,Verona,13,SPIRITO Luca,Palleggiatore,1993,199,SV,ITA,-,-,,,,
A1,2022/2023,WithU Verona,Verona,15,BONISOLI Pietro,Libero,2005,182,BS,ITA,-,-,,,,
A1,2022/2023,WithU Verona,Verona,18,MOSCA Leandro,Centrale,2000,209,MC,ITA,-,-,,,,
A1,2022/2023,WithU Verona,Verona,19,MOZIC Rok,Schiacciatore,2002,200,SLO,SLO,-,-,,,,
A1,2022/2023,WithU Verona,Verona,20,GAGGINI Marco,Libero,2002,184,VA,ITA,-,-,,,,
A1,2022/2023,WithU Verona,Verona,21,ZANOTTI Andrea,Centrale,1997,195,VR,ITA,-,-,,,,
A1,2022/2023,WithU Verona,Verona,2,PERRIN John Gordon,Schiacciatore,1989,201,CAN,CAN,fino al 11/02/2023,-,,,,
A2,2022/2023,Agnelli Tipiesse Bergamo,Bergamo,1,COPELLI Riccardo,Centrale,1996,198,CR,ITA,-,-,,,,
A2,2022/2023,Agnelli Tipiesse Bergamo,Bergamo,3,HELD Tim,Schiacciatore,1998,195,MC,ITA,-,-,,,,
A2,2022/2023,Agnelli Tipiesse Bergamo,Bergamo,5,CATONE Mattia,Palleggiatore,2001,180,TE,ITA,-,-,,,,
A2,2022/2023,Agnelli Tipiesse Bergamo,Bergamo,6,LAVORATO Tommaso,Centrale,2003,195,BO,ITA,-,-,,,,
A2,2022/2023,Agnelli Tipiesse Bergamo,Bergamo,7,CARGIOLI Antonio,Centrale,1994,200,MI,ITA,-,-,,,,
A2,2022/2023,Agnelli Tipiesse Bergamo,Bergamo,8,COMINETTI Roberto,Schiacciatore,1997,190,BG,ITA,-,-,,,,
A2,2022/2023,Agnelli Tipiesse Bergamo,Bergamo,9,TOSCANI Alessandro,Libero,1998,183,CH,ITA,-,-,,,,
A2,2022/2023,Agnelli Tipiesse Bergamo,Bergamo,10,PAHOR Mitja,Schiacciatore,2000,188,GO,ITA,-,-,,,,
A2,2022/2023,Agnelli Tipiesse Bergamo,Bergamo,11,BALDI Andrea,Schiacciatore,2000,197,BS,ITA,-,-,,,,
A2,2022/2023,Agnelli Tipiesse Bergamo,Bergamo,12,MAZZON Riccardo,Schiacciatore,1996,197,PD,ITA,-,-,,,,
A2,2022/2023,Agnelli Tipiesse Bergamo,Bergamo,13,CIOFFI Massimiliano,Centrale,1992,195,MI,ITA,-,-,,,,
A2,2022/2023,Agnelli Tipiesse Bergamo,Bergamo,14,PADURA DIAZ Williams,Schiacciatore,1986,200,CUB,ITA,-,-,,,,
A2,2022/2023,Agnelli Tipiesse Bergamo,Bergamo,15,DE LUCA Matteo,Libero,2002,180,BS,ITA,-,-,,,,
A2,2022/2023,Agnelli Tipiesse Bergamo,Bergamo,17,JOVANOVIC Igor,Palleggiatore,1990,194,SRB,SRB,-,-,,,,
A2,2022/2023,Banca Alpi Marittime Acqua S.Bernardo Cuneo,Cuneosport,1,CARDONA ABREU Luca,Schiacciatore,2003,199,CN,ITA,-,-,,,,
A2,2022/2023,Banca Alpi Marittime Acqua S.Bernardo Cuneo,Cuneosport,2,CODARIN Lorenzo,Centrale,1996,200,UD,ITA,-,-,,,,
A2,2022/2023,Banca Alpi Marittime Acqua S.Bernardo Cuneo,Cuneosport,3,PARODI Simone,Schiacciatore,1986,195,IM,ITA,-,-,,,,
A2,2022/2023,Banca Alpi Marittime Acqua S.Bernardo Cuneo,Cuneosport,4,KOPFLI Tim,Schiacciatore,1996,193,SUI,SUI,-,-,,,,
A2,2022/2023,Banca Alpi Marittime Acqua S.Bernardo Cuneo,Cuneosport,5,ESPOSITO Lorenzo,Palleggiatore,2003,186,AP,ITA,-,-,,,,
A2,2022/2023,Banca Alpi Marittime Acqua S.Bernardo Cuneo,Cuneosport,6,LANCIANI Filippo,Centrale,2000,200,MC,ITA,-,-,,,,
A2,2022/2023,Banca Alpi Marittime Acqua S.Bernardo Cuneo,Cuneosport,7,PEDRON Matteo,Palleggiatore,1992,189,PD,ITA,-,-,,,,
A2,2022/2023,Banca Alpi Marittime Acqua S.Bernardo Cuneo,Cuneosport,8,SANTANGELO Andrea,Schiacciatore,1994,200,IS,ITA,-,-,,,,
A2,2022/2023,Banca Alpi Marittime Acqua S.Bernardo Cuneo,Cuneosport,9,LILLI Mattia,Libero,2002,175,SV,ITA,-,-,,,,
