Division,Season,Team,Club,No,Player,Role,Nationality,Height,Birth year,,,,
A1,Stagione2022/23,Volley Bergamo 1991,Bergamo,5,Laura Partenio,Schiacciatrice,ITA,183,1991,,,,
A1,Stagione2022/23,Volley Bergamo 1991,Bergamo,6,Giada Cecchetto,Libero,ITA,164,1991,,,,
A1,Stagione2022/23,Volley Bergamo 1991,Bergamo,7,Lorrayna Marys Da Silva,Opposto,BRA,185,1999,,,,
A1,Stagione2022/23,Volley Bergamo 1991,Bergamo,10,Luna Cicola,Libero,ITA,170,2004,,,,
A1,Stagione2022/23,Volley Bergamo 1991,Bergamo,11,Sofia Turlà,Palleggiatrice,ITA,178,1998,,,,
A1,Stagione2022/23,Volley Bergamo 1991,Bergamo,13,Mackenzie May,Schiacciatrice,USA,190,1999,,,,
A1,Stagione2022/23,Volley Bergamo 1991,Bergamo,14,Giorgia Frosini,Opposto,ITA,189,2002,,,,
A1,Stagione2022/23,Volley Bergamo 1991,Bergamo,16,Khalia Lanier,Schiacciatrice,USA,186,1998,,,,
A1,Stagione2022/23,Volley Bergamo 1991,Bergamo,18,Emma Cagnin,Schiacciatrice,ITA,186,2002,,,,
A1,Stagione2022/23,Volley Bergamo 1991,Bergamo,22,Federica Stufi,Centrale,ITA,185,1988,,,,
A1,Stagione2022/23,Volley Bergamo 1991,Bergamo,23,Giulia Gennari,Palleggiatrice,ITA,184,1996,,,,
A1,Stagione2022/23,Wash4green Pinerolo,Pinerolo,2,Martyna Grajber,Schiacciatrice,POL,180,1995,,,,
A1,Stagione2022/23,Wash4green Pinerolo,Pinerolo,4,Yiwen Miao,Schiacciatrice,CHN,187,2000,,,,
A1,Stagione2022/23,Wash4green Pinerolo,Pinerolo,5,Federica Carletti,Schiacciatrice,ITA,184,2000,,,,
A1,Stagione2022/23,Wash4green Pinerolo,Pinerolo,6,Michelle Gueli,Libero,ITA,167,2003,,,,
A1,Stagione2022/23,Wash4green Pinerolo,Pinerolo,7,Sofia Renieri,Opposto,ITA,188,1997,,,,
A1,Stagione2022/23,Wash4green Pinerolo,Pinerolo,8,Silvia Bussoli,Schiacciatrice,ITA,184,1993,,,,
A1,Stagione2022/23,Wash4green Pinerolo,Pinerolo,10,Ilenia Moro,Libero,ITA,178,1999,,,,
A1,Stagione2022/23,Wash4green Pinerolo,Pinerolo,11,Vittoria Prandi,Palleggiatrice,ITA,180,1994,,,,
A1,Stagione2022/23,Wash4green Pinerolo,Pinerolo,13,Valentina Zago,Opposto,ITA,187,1990,,,,
A1,Stagione2022/23,Wash4green Pinerolo,Pinerolo,14,Laura Bortoli,Palleggiatrice,ITA,180,1996,,,,
A1,Stagione2022/23,Wash4green Pinerolo,Pinerolo,15,0 Jones Rainelle,Centrale,USA,191,2000,,,,
A1,Stagione2022/23,Wash4green Pinerolo,Pinerolo,17,Anna Gray,Centrale,ITA,187,1996,,,,
A1,Stagione2022/23,Wash4green Pinerolo,Pinerolo,18,Yasmina Akrari,Centrale,ITA,185,1993,,,,
A1,Stagione2022/23,Wash4green Pinerolo,Pinerolo,19,Adelina Ungureanu,Schiacciatrice,ROM,187,2000,,,,
A2,Stagione2022/23,Bsc Materials Sassuolo,Sassuolo,1,Valentina Pomili,Schiacciatrice,ITA,183,1994,,,,
A2,Stagione2022/23,Bsc Materials Sassuolo,Sassuolo,2,Federica Pelloni,Libero,ITA,172,2002,,,,
A2,Stagione2022/23,Bsc Materials Sassuolo,Sassuolo,5,Alessia Masciullo,Palleggiatrice,ITA,183,2004,,,,
A2,Stagione2022/23,Bsc Materials Sassuolo,Sassuolo,6,Karola Dhimitriadhi,Schiacciatrice,ITA,183,1996,,,,
A2,Stagione2022/23,Bsc Materials Sassuolo,Sassuolo,7,Arianna Vittorini,Schiacciatrice,ITA,181,2002,,,,
A2,Stagione2022/23,Bsc Materials Sassuolo,Sassuolo,8,Chiara Scacchetti,Palleggiatrice,ITA,180,1995,,,,
A2,Stagione2022/23,Bsc Materials Sassuolo,Sassuolo,9,Martina Bondavalli,Libero,ITA,175,2004,,,,
A2,Stagione2022/23,Bsc Materials Sassuolo,Sassuolo,10,Linda Manfredini,Centrale,ITA,186,2006,,,,
A2,Stagione2022/23,Bsc Materials Sassuolo,Sassuolo,11,Vittoria Fornari,Centrale,ITA,180,2002,,,,
A2,Stagione2022/23,Bsc Materials Sassuolo,Sassuolo,12,Federica Busolini,Centrale,ITA,186,1999,,,,
A2,Stagione2022/23,Bsc Materials Sassuolo,Sassuolo,13,Aurora Pistolesi,Schiacciatrice,ITA,182,1999,,,,
A2,Stagione2022/23,Bsc Materials Sassuolo,Sassuolo,14,0 Martinez Vela Paola,Opposto,ESP,182,1998,,,,
A2,Stagione2022/23,Bsc Materials Sassuolo,Sassuolo,16,Giada Civitico,Centrale,ITA,191,2000,,,,
A2,Stagione2022/23,Chromavis Eco Db Offanengo,Offanengo,1,Marina Cattaneo,Centrale,ITA,180,1993,,,,
A2,Stagione2022/23,Chromavis Eco Db Offanengo,Offanengo,2,Giorgia Tommasini,Libero,ITA,158,2006,,,,
A2,Stagione2022/23,Chromavis Eco Db Offanengo,Offanengo,3,Ilaria Anello,Schiacciatrice,ITA,180,2002,,,,
