Season	Serie	Team	No	Player	Role	Born	Height	Nat. Sport.	Note
2020-2021	A1	Bartoccini Fortinfissi Perugia	10	KOOLHAAS NICOLE	Middleblocker	1991	198	NED	
2020-2021	A1	Bartoccini Fortinfissi Perugia	11	ORTOLANI SERENA	Opposite	1987	187	ITA	
2020-2021	A1	Bartoccini Fortinfissi Perugia	12	ANGELONI VERONICA	Spiker	1986	186	ITA	
2020-2021	A1	Bartoccini Fortinfissi Perugia	16	HAVELKOVA HELENA	Spiker	1988	188	CZE	
2020-2021	A1	Bartoccini Fortinfissi Perugia	19	AELBRECHT FREYA	Middleblocker	1990	186	BEL	
2020-2021	A1	Bosca S.Bernardo Cuneo	1	BICI ERBLIRA	Opposite	1995	185	ALB	
2020-2021	A1	Bosca S.Bernardo Cuneo	2	DEGRADI ALICE	Spiker	1996	181	ITA	
2020-2021	A1	Bosca S.Bernardo Cuneo	3	MATOS MASSIEL	Spiker	1998	184	DOM	from 07/01/2021
2020-2021	A1	Bosca S.Bernardo Cuneo	5	TURCO ALICE	Setter	2000	178	ITA	
2020-2021	A1	Bosca S.Bernardo Cuneo	6	GIOVANNINI GAIA	Spiker	2001	182	ITA	
2020-2021	A1	Bosca S.Bernardo Cuneo	8	CANDI SONIA	Middleblocker	1993	187	ITA	
2020-2021	A1	Bosca S.Bernardo Cuneo	9	STRANTZALI OLGA	Spiker	1996	185	GRE	until 07/01/2021
2020-2021	A1	Bosca S.Bernardo Cuneo	12	FAVA FRANCESCA	Middleblocker	1998	182	ITA	
2020-2021	A1	Bosca S.Bernardo Cuneo	13	SIGNORILE NOEMI	Setter	1990	183	ITA	
2020-2021	A1	Bosca S.Bernardo Cuneo	14	STIJEPIC MILKA	Opposite	1997	182	SRB	
2020-2021	A1	Bosca S.Bernardo Cuneo	15	ZANNONI GIORGIA	Libero	1998	171	ITA	
2020-2021	A1	Bosca S.Bernardo Cuneo	16	ZAKCHAIOU KATERINA	Middleblocker	1998	192	CYP	
2020-2021	A1	Bosca S.Bernardo Cuneo	19	UNGUREANU ADELINA	Spiker	2000	187	ROM	
2020-2021	A1	Bosca S.Bernardo Cuneo	20	GAY ALICE	Libero	2002	165	ITA	
2020-2021	A1	Delta Despar Trentino	1	PIANI VITTORIA	Opposite	1998	187	ITA	
2020-2021	A1	Delta Despar Trentino	3	MARCONE BENEDETTA	Spiker	1993	180	ITA	
2020-2021	A1	Delta Despar Trentino	4	TREVISAN FRANCESCA	Spiker	1995	180	ITA	
2020-2021	A1	Delta Despar Trentino	5	MORO ILENIA	Libero	1999	178	ITA	
2020-2021	A1	Delta Despar Trentino	6	FONDRIEST SILVIA	Middleblocker	1988	188	ITA	
2020-2021	A1	Delta Despar Trentino	7	CUMINO MARIA LUISA	Setter	1992	177	ITA	
2020-2021	A1	Delta Despar Trentino	8	RICCI MARIA IRENE	Setter	1996	179	ITA	
2020-2021	A1	Delta Despar Trentino	9	D'ODORICO SOFIA	Spiker	1997	186	ITA	
2020-2021	A1	Delta Despar Trentino	11	PIZZOLATO VALERIA	Middleblocker	1999	182	ITA	
2020-2021	A1	Delta Despar Trentino	12	FURLAN ELEONORA	Middleblocker	1995	188	ITA	
2020-2021	A1	Delta Despar Trentino	13	MELLI GIULIA	Spiker	1998	184	ITA	
2020-2021	A1	Delta Despar Trentino	17	BISIO ELENA	Opposite	2000	183	ITA	
2020-2021	A1	Igor Gorgonzola Novara	3	POPULINI ALESSIA	Spiker	2000	179	ITA	
2020-2021	A1	Igor Gorgonzola Novara	4	HERBOTS BRITT	Spiker	1999	182	BEL	
2020-2021	A1	Igor Gorgonzola Novara	5	NAPODANO FRANCESCA	Libero	1999	175	ITA	
2020-2021	A1	Igor Gorgonzola Novara	6	ZANETTE ELISA	Opposite	1996	193	ITA	
2020-2021	A1	Igor Gorgonzola Novara	7	BATTISTONI ILARIA	Setter	1996	174	ITA	
2020-2021	A1	Igor Gorgonzola Novara	9	BOSETTI CATERINA	Spiker	1994	180	ITA	
2020-2021	A1	Igor Gorgonzola Novara	10	CHIRICHELLA CRISTINA	Middleblocker	1994	195	ITA	
2020-2021	A1	Igor Gorgonzola Novara	11	SANSONNA STEFANIA	Libero	1982	175	ITA	
2020-2021	A1	Igor Gorgonzola Novara	12	HANCOCK MICHA DANIELLE	Setter	1992	180	USA	
2020-2021	A1	Igor Gorgonzola Novara	13	BONIFACIO SARA	Middleblocker	1996	185	ITA	
2020-2021	A1	Igor Gorgonzola Novara	14	TAJ? SARA	Middleblocker	1998	187	ITA	from 15/12/2020 PROVENIENTE DA GREEN WARRIORS SASSUOLO
2020-2021	A1	Igor Gorgonzola Novara	15	WASHINGTON HALEIGH	Middleblocker	1995	192	USA	
2020-2021	A1	Igor Gorgonzola Novara	17	SMARZEK MALWINA	Opposite	1996	191	POL	
2020-2021	A1	Igor Gorgonzola Novara	19	DAALDEROP NIKA	Spiker	1998	190	NED	
2020-2021	A1	Il Bisonte Firenze	1	ENWEONWU TERRY RUTH	Spiker	2000	185	ITA	
2020-2021	A1	Il Bisonte Firenze	2	VITTORINI ARIANNA	Spiker	2002	181	ITA	
2020-2021	A1	Il Bisonte Firenze	3	CAMBI CARLOTTA	Setter	1996	176	ITA	
2020-2021	A1	Il Bisonte Firenze	4	LAZIC REBECKA	Spiker	1994	187	SWE	
2020-2021	A1	Il Bisonte Firenze	7	VAN GESTEL CELINE	Spiker	1997	183	BEL	
2020-2021	A1	Il Bisonte Firenze	8	ALBERTI SARA	Middleblocker	1993	185	ITA	
2020-2021	A1	Il Bisonte Firenze	9	PANETONI SARA	Libero	2000	174	ITA	
2020-2021	A1	Il Bisonte Firenze	10	HASHIMOTO NAOKO	Setter	1984	172	JPN	
2020-2021	A1	Il Bisonte Firenze	11	BELIEN YVON	Middleblocker	1993	188	NED	
2020-2021	A1	Il Bisonte Firenze	12	GUERRA ANASTASIA	Spiker	1996	186	ITA	
2020-2021	A1	Il Bisonte Firenze	14	KONE FATIM YASSIMINA	Middleblocker	2000	182	ITA	
2020-2021	A1	Il Bisonte Firenze	15	NWAKALOR SYLVIA	Opposite	1999	176	ITA	
2020-2021	A1	Il Bisonte Firenze	16	ACCIARRI NAUSICA	Middleblocker	2004	186	ITA	
2020-2021	A1	Il Bisonte Firenze	17	VENTURI MAILA	Libero	1996	162	ITA	
2020-2021	A1	Il Bisonte Firenze	18	OGOMS ALICIA	Middleblocker	1994	194	CAN	from 17/01/2021
2020-2021	A1	Imoco Volley Conegliano	1	CARAVELLO LARA	Libero	1994	176	ITA	
2020-2021	A1	Imoco Volley Conegliano	3	GICQUEL LUCILLE	Opposite	1997	189	FRA	
2020-2021	A1	Imoco Volley Conegliano	4	BUTIGAN BOZANA	Middleblocker	2000	190	CRO	
2020-2021	A1	Imoco Volley Conegliano	5	DE KRUIJF ROBIN	Middleblocker	1991	193	NED	
2020-2021	A1	Imoco Volley Conegliano	7	FOLIE RAPHAELA	Middleblocker	1991	186	ITA	
2020-2021	A1	Imoco Volley Conegliano	9	OMORUYI LOVETH OGHOSASERE	Spiker	2002	184	ITA	
2020-2021	A1	Imoco Volley Conegliano	10	DE GENNARO MONICA	Libero	1987	173	ITA	
2020-2021	A1	Imoco Volley Conegliano	11	ADAMS MCKENZIE ELISE	Spiker	1992	192	USA	
2020-2021	A1	Imoco Volley Conegliano	13	GENNARI GIULIA	Setter	1996	184	ITA	
2020-2021	A1	Imoco Volley Conegliano	14	WOLOSZ JOANNA	Setter	1990	181	POL	
2020-2021	A1	Imoco Volley Conegliano	15	HILL KIMBERLY	Spiker	1989	193	USA	
2020-2021	A1	Imoco Volley Conegliano	17	SYLLA MIRIAM	Spiker	1995	181	ITA	
2020-2021	A1	Imoco Volley Conegliano	18	EGONU PAOLA	Opposite	1998	190	ITA	
2020-2021	A1	Imoco Volley Conegliano	19	FAHR SARAH	Middleblocker	2001	192	ITA	
2020-2021	A1	Reale Mutua Fenera Chieri	1	ALHASSAN RHAMAT	Middleblocker	1996	195	USA	
2020-2021	A1	Reale Mutua Fenera Chieri	3	PERINELLI ELENA	Spiker	1995	181	ITA	
2020-2021	A1	Reale Mutua Fenera Chieri	4	BOSIO FRANCESCA	Setter	1997	180	ITA	
2020-2021	A1	Reale Mutua Fenera Chieri	5	FRANTTI ALEXANDRA	Spiker	1996	185	USA	
2020-2021	A1	Reale Mutua Fenera Chieri	6	MAYER VICTORIA	Setter	2001	180	ARG	
2020-2021	A1	Reale Mutua Fenera Chieri	7	GIBERTINI GIULIA	Libero	1984	172	ITA	
2020-2021	A1	Reale Mutua Fenera Chieri	8	GROBELNA KAJA	Opposite	1995	188	BEL	
2020-2021	A1	Reale Mutua Fenera Chieri	9	VILLANI FRANCESCA	Spiker	1995	187	ITA	
2020-2021	A1	Reale Mutua Fenera Chieri	10	DE BORTOLI CHIARA	Libero	1997	176	ITA	
2020-2021	A1	Reale Mutua Fenera Chieri	11	LAAK KERTU	Opposite	1998	188	EST	
2020-2021	A1	Reale Mutua Fenera Chieri	12	MAZZARO ALESSIA	Middleblocker	1998	185	ITA	
2020-2021	A1	Reale Mutua Fenera Chieri	18	ZAMBELLI MARINA	Middleblocker	1990	187	ITA	
2020-2021	A1	Reale Mutua Fenera Chieri	21	MEIJERS ANNICK	Spiker	2000	188	NED	
2020-2021	A1	Saugella Monza	3	CARRARO GIULIA	Setter	1994	175	ITA	
2020-2021	A1	Saugella Monza	4	SQUARCINI FEDERICA	Middleblocker	2000	183	ITA	
2020-2021	A1	Saugella Monza	5	HEYRMAN LAURA	Middleblocker	1993	188	BEL	
2020-2021	A1	Saugella Monza	7	VAN HECKE LISE	Opposite	1992	192	BEL	
2020-2021	A1	Saugella Monza	8	ORRO ALESSIA	Setter	1998	180	ITA	
2020-2021	A1	Saugella Monza	10	BEGIC EDINA	Spiker	1992	185	BIH	
2020-2021	A1	Saugella Monza	11	DANESI ANNA	Middleblocker	1996	196	ITA	
2020-2021	A1	Saugella Monza	12	ORTHMANN HANNA	Spiker	1998	188	GER	
2020-2021	A1	Saugella Monza	14	MEIJNERS FLOORTJE	Spiker	1987	192	NED	
2020-2021	A1	Saugella Monza	16	OBOSSA JOSEPHINE	Opposite	1999	183	ITA	
2020-2021	A1	Saugella Monza	18	DAVYSKIBA HANNA	Spiker	2000	188	BLR	
2020-2021	A1	Saugella Monza	20	PARROCCHIALE BEATRICE	Libero	1995	167	ITA	
2020-2021	A1	Saugella Monza	99	NEGRETTI BEATRICE	Libero	1999	170	ITA	
2020-2021	A1	Savino Del Bene Scandicci	3	STYSIAK MAGDALENA	Opposite	2000	203	POL	
2020-2021	A1	Savino Del Bene Scandicci	4	MALINOV OFELIA	Setter	1996	180	ITA	
2020-2021	A1	Savino Del Bene Scandicci	5	POPOVIC MINA	Middleblocker	1994	187	SRB	
2020-2021	A1	Savino Del Bene Scandicci	6	MARKOVIC SRNA	Spiker	1996	184	AUT	
2020-2021	A1	Savino Del Bene Scandicci	7	PIETRINI ELENA	Spiker	2000	186	ITA	
2020-2021	A1	Savino Del Bene Scandicci	8	MERLO ENRICA	Libero	1988	170	ITA	
2020-2021	A1	Savino Del Bene Scandicci	9	LUBIAN MARINA	Middleblocker	2000	192	ITA	
2020-2021	A1	Savino Del Bene Scandicci	10	CAROCCI LUNA VERONICA	Libero	1988	174	ITA	
2020-2021	A1	Savino Del Bene Scandicci	11	CECCONELLO AGNESE	Middleblocker	1999	190	ITA	
2020-2021	A1	Savino Del Bene Scandicci	12	SAMADAN MARTINA	Middleblocker	1993	193	CRO	
2020-2021	A1	Savino Del Bene Scandicci	13	DREWNIOK KIMBERLY	Opposite	1997	188	GER	
2020-2021	A1	Savino Del Bene Scandicci	14	VASILEVA ELITSA	Spiker	1990	194	BUL	from 06/12/2020 PROVENIENTE DA VBC ?PI? CASALMAGGIORE
2020-2021	A1	Savino Del Bene Scandicci	16	BOSETTI LUCIA	Spiker	1989	175	ITA	
2020-2021	A1	Savino Del Bene Scandicci	17	COURTNEY MEGAN	Spiker	1993	185	USA	
2020-2021	A1	Savino Del Bene Scandicci	18	CAMERA LETIZIA	Setter	1992	175	ITA	
2020-2021	A1	Unet E-Work Busto Arsizio	1	POULTER JORDYN	Setter	1997	188	USA	
2020-2021	A1	Unet E-Work Busto Arsizio	3	OLIVOTTO ROSSELLA	Middleblocker	1991	184	ITA	
2020-2021	A1	Unet E-Work Busto Arsizio	6	GENNARI ALESSIA	Spiker	1991	184	ITA	
2020-2021	A1	Unet E-Work Busto Arsizio	7	BONELLI ASIA	Setter	2000	181	ITA	
2020-2021	A1	Unet E-Work Busto Arsizio	8	GRAY ALEXA	Spiker	1994	185	CAN	
2020-2021	A1	Unet E-Work Busto Arsizio	9	LEONARDI GIULIA	Libero	1987	165	ITA	
2020-2021	A1	Unet E-Work Busto Arsizio	11	MINGARDI CAMILLA	Opposite	1997	186	ITA	
2020-2021	A1	Unet E-Work Busto Arsizio	12	PICCININI FRANCESCA	Spiker	1979	185	ITA	
2020-2021	A1	Unet E-Work Busto Arsizio	13	CUCCO CHIARA	Libero	2002	168	ITA	
2020-2021	A1	Unet E-Work Busto Arsizio	15	STEVANOVIC JOVANA	Middleblocker	1992	191	SRB	
2020-2021	A1	Unet E-Work Busto Arsizio	17	ESCAMILLA ANA	Spiker	1998	184	ESP	
2020-2021	A1	Unet E-Work Busto Arsizio	18	BULOVIC KATARINA	Spiker	2002	188	SRB	
2020-2021	A1	Unet E-Work Busto Arsizio	23	HERRERA BLANCO LISET	Middleblocker	1998	192	CUB	
2020-2021	A1	Vbc ?pi? Casalmaggiore	2	STUFI FEDERICA	Middleblocker	1988	185	ITA	
2020-2021	A1	Vbc ?pi? Casalmaggiore	3	LLOYD CARLI	Setter	1989	180	USA	
2020-2021	A1	Vbc ?pi? Casalmaggiore	4	PARTENIO LAURA	Spiker	1991	182	ITA	
2020-2021	A1	Vbc ?pi? Casalmaggiore	5	SIRRESSI IMMA	Libero	1990	175	ITA	
2020-2021	A1	Vbc ?pi? Casalmaggiore	6	BONCIANI FRANCESCA	Setter	1992	178	ITA	
2020-2021	A1	Vbc ?pi? Casalmaggiore	7	MONTIBELLER ROSAMARIA	Opposite	1994	186	BRA	
2020-2021	A1	Vbc ?pi? Casalmaggiore	8	MAGGIPINTO MARIANNA	Libero	1996	164	ITA	
2020-2021	A1	Vbc ?pi? Casalmaggiore	9	MELANDRI LAURA	Middleblocker	1995	186	ITA	
2020-2021	A1	Vbc ?pi? Casalmaggiore	10	VANZUROVA TEREZA	Opposite	1991	186	CZE	
2020-2021	A1	Vbc ?pi? Casalmaggiore	11	CIARROCCHI MICHELA	Middleblocker	1999	185	ITA	
2020-2021	A1	Vbc ?pi? Casalmaggiore	14	MARINHO ANANDA CRISTINA	Setter	1989	177	BRA	from 08/10/2020
2020-2021	A1	Vbc ?pi? Casalmaggiore	15	BAJEMA KARA	Spiker	1998	198	USA	
2020-2021	A1	Vbc ?pi? Casalmaggiore	16	VASILEVA ELITSA	Spiker	1990	194	BUL	from 07/09/2020 until 27/11/2020 TRASFERITA A SAVINO DEL BENE SCANDICCI
2020-2021	A1	Vbc ?pi? Casalmaggiore	18	KOSAREVA DAYANA	Spiker	1999	186	ITA	
2020-2021	A1	Zanetti Bergamo	1	FAUCETTE JOHNSON JULIANN	Spiker	1989	190	USA	
2020-2021	A1	Zanetti Bergamo	6	ENRIGHT STEPHANIE	Spiker	1990	179	PUR	
2020-2021	A1	Zanetti Bergamo	7	PRANDI VITTORIA	Setter	1994	180	ITA	
2020-2021	A1	Zanetti Bergamo	8	FERSINO ELEONORA	Libero	2000	169	ITA	
2020-2021	A1	Zanetti Bergamo	9	MARCON FRANCESCA	Spiker	1983	180	ITA	
2020-2021	A1	Zanetti Bergamo	10	LUKETIC KATARINA	Opposite	1998	190	CRO	
2020-2021	A1	Zanetti Bergamo	13	DUMANCIC BETA	Middleblocker	1991	189	CRO	
2020-2021	A1	Zanetti Bergamo	14	VALENTIN NATALIA	Setter	1989	170	PUR	
2020-2021	A1	Zanetti Bergamo	15	FARAONE GIORGIA	Libero	1994	168	ITA	
2020-2021	A1	Zanetti Bergamo	16	LANIER KHALIA	Spiker	1998	186	USA	
2020-2021	A1	Zanetti Bergamo	17	LODA SARA	Spiker	1990	178	ITA	
2020-2021	A1	Zanetti Bergamo	18	MORETTO GAIA	Middleblocker	1994	192	ITA	
2020-2021	A1	Zanetti Bergamo	24	MIO BERTOLO GIULIA	Middleblocker	1995	187	ITA	
2010-2011	A2	Banca Reale Yoyogurt Giaveno	1	ROCCI ROMANA GIULIA	Spiker	1976	178	ITA	
2010-2011	A2	Banca Reale Yoyogurt Giaveno	2	RENZI SILVIA	Middleblocker	1985	186	ITA	
2010-2011	A2	Banca Reale Yoyogurt Giaveno	3	QUADRI ALICE	Setter	1987	177	ITA	until 07/01/2011
2010-2011	A2	Banca Reale Yoyogurt Giaveno	4	MIDRIANO ALESSIA	Middleblocker	1982	183	ITA	
2010-2011	A2	Banca Reale Yoyogurt Giaveno	5	DAMETTO CAMILLA	Libero	1994	180	ITA	
2010-2011	A2	Banca Reale Yoyogurt Giaveno	6	MIOLA SARA	Spiker	1991	186	ITA	
2010-2011	A2	Banca Reale Yoyogurt Giaveno	7	CARDANI ELISA	Libero	1990	170	ITA	
2010-2011	A2	Banca Reale Yoyogurt Giaveno	9	SAFRONOVA SVETLANA	Spiker	1988	181	ITA	
2010-2011	A2	Banca Reale Yoyogurt Giaveno	10	GLOD JOHN DESIREE GUILLERMINA	Spiker	1982	176	VEN	
2010-2011	A2	Banca Reale Yoyogurt Giaveno	11	PINEDO GEORGINA SOLEDAD	Spiker	1981	179	ARG	
2010-2011	A2	Banca Reale Yoyogurt Giaveno	12	ZAMORA GIL MARTHA MARIA	Spiker	1983	187	ITA	until 06/01/2011
2010-2011	A2	Banca Reale Yoyogurt Giaveno	14	MONCADA ELISA	Setter	1987	175	ITA	
2010-2011	A2	Banca Reale Yoyogurt Giaveno	15	ARIC? RAMONA	Spiker	1985	188	ITA	from 07/01/2011
2010-2011	A2	Banca Reale Yoyogurt Giaveno	17	ANGELELLI ILARIA	Setter	1986	171	ITA	from 07/01/2011
2010-2011	A2	Banca Reale Yoyogurt Giaveno	18	MALVESTITO SERENA	Middleblocker	1988	185	ITA	
2010-2011	A2	Biancoforno Volley Santa Croce	1	ZANOLLA EMMA	Spiker	1982	180	ITA	
2010-2011	A2	Biancoforno Volley Santa Croce	2	STUFI FEDERICA	Middleblocker	1988	186	ITA	
2010-2011	A2	Biancoforno Volley Santa Croce	3	FIDANZI GIULIA	Spiker	1988	174	ITA	
2010-2011	A2	Biancoforno Volley Santa Croce	7	LOTTI SILVIA	Spiker	1992	186	ITA	
2010-2011	A2	Biancoforno Volley Santa Croce	8	GIOVANNELLI SILVIA	Middleblocker	1981	184	ITA	
2010-2011	A2	Biancoforno Volley Santa Croce	9	COSCI GIULIA	Setter	1987	177	ITA	
2010-2011	A2	Biancoforno Volley Santa Croce	10	PERCAN SONJA	Spiker	1981	186	CRO	
2010-2011	A2	Biancoforno Volley Santa Croce	11	CASTELLANO ALESSANDRA	Middleblocker	1982	176	ITA	
2010-2011	A2	Biancoforno Volley Santa Croce	12	SWIDEREK ANNA	Setter	1981	186	ITA	
2010-2011	A2	Biancoforno Volley Santa Croce	13	SECCO THAIRA	Spiker	1985	183	ITA	
2010-2011	A2	Biancoforno Volley Santa Croce	15	ELLI MARIA LUISA	Middleblocker	1985	186	ITA	
2010-2011	A2	Biancoforno Volley Santa Croce	17	PUERARI RAMONA	Libero	1983	170	ITA	
2010-2011	A2	Biancoforno Volley Santa Croce	18	SORAIA NEUDIL DOS SANTOS	Spiker	1984	191	BRA	
2010-2011	A2	Cariparma SiGrade Parma	1	MARTINI ELISA	Libero	1992	167	ITA	
2010-2011	A2	Cariparma SiGrade Parma	2	ROMAN? MARIA PIA	Middleblocker	1976	184	ITA	
2010-2011	A2	Cariparma SiGrade Parma	4	MONTANI MILA	Middleblocker	1988	187	ITA	
2010-2011	A2	Cariparma SiGrade Parma	5	SEVARIKA NATASA	Spiker	1988	183	SRB	
2010-2011	A2	Cariparma SiGrade Parma	7	CONTI ANDREA CAROLINA	Spiker	1982	193	ITA	
2010-2011	A2	Cariparma SiGrade Parma	8	MUSTI DE GENNARO LULAMA	Middleblocker	1983	185	ITA	
2010-2011	A2	Cariparma SiGrade Parma	9	PINCERATO GIULIA	Setter	1987	182	ITA	
2010-2011	A2	Cariparma SiGrade Parma	10	GIBERTINI GIULIA	Libero	1984	170	ITA	
2010-2011	A2	Cariparma SiGrade Parma	12	GRIZZO ANNA	Spiker	1984	190	ITA	
2010-2011	A2	Cariparma SiGrade Parma	13	CONTI ELEONORA	Setter	1988	182	ITA	
2010-2011	A2	Cariparma SiGrade Parma	14	CELLA ELISA	Spiker	1982	186	ITA	
2010-2011	A2	Cariparma SiGrade Parma	15	NAPOLITANO SENKOVA JANA	Spiker	1982	182	CZE	
2010-2011	A2	Cariparma SiGrade Parma	17	BRUSEGAN ROBERTA	Middleblocker	1986	188	ITA	
2010-2011	A2	Cedat 85 San Vito	2	KOHLER JAQUELINE	Spiker	1983	180	BRA	
2010-2011	A2	Cedat 85 San Vito	3	TRAVAGLINI ALESSIA	Middleblocker	1988	192	ITA	
2010-2011	A2	Cedat 85 San Vito	4	ROURKE RACHEL	Spiker	1988	192	AUS	
2010-2011	A2	Cedat 85 San Vito	5	ZAMORA GIL MARTHA MARIA	Spiker	1983	187	ITA	from 07/01/2011
2010-2011	A2	Cedat 85 San Vito	6	FLORO ILENIA	Middleblocker	1980	181	ITA	
2010-2011	A2	Cedat 85 San Vito	7	ANGELOVA SVETLA	Setter	1988	180	ITA	
2010-2011	A2	Cedat 85 San Vito	8	FANELLI GERMANA	Middleblocker	1983	190	ITA	
2010-2011	A2	Cedat 85 San Vito	9	ARIC? RAMONA	Spiker	1985	188	ITA	until 06/01/2011
2010-2011	A2	Cedat 85 San Vito	10	BEATTIE LYNNE	Spiker	1985	183	SCO	until 26/01/2011
2010-2011	A2	Cedat 85 San Vito	12	CAPUTO GRAZIANA	Spiker	1993	180	ITA	
2010-2011	A2	Cedat 85 San Vito	15	SCILLIA VALENTINA	Libero	1981	162	ITA	
2010-2011	A2	Cedat 85 San Vito	16	BENATO MARIAEUGENIA	Libero	1993	164	ITA	
2010-2011	A2	Cedat 85 San Vito	17	DE LELLIS SARA	Setter	1986	181	ITA	
2010-2011	A2	Dahlia Tv Busnago	1	BRUNO BENEDETTA	Middleblocker	1984	191	ITA	
2010-2011	A2	Dahlia Tv Busnago	2	BOTTAINI LEILA	Spiker	1991	180	ITA	
2010-2011	A2	Dahlia Tv Busnago	3	D'AGOSTINO STEFANIA	Setter	1986	179	ITA	
2010-2011	A2	Dahlia Tv Busnago	4	GARCIA MARQUEZ ELENA	Spiker	1979	188	ESP	
2010-2011	A2	Dahlia Tv Busnago	5	FRANCO ESTER	Spiker	1979	188	ITA	
2010-2011	A2	Dahlia Tv Busnago	6	GARCIA ZULETA LORENA ALEXANDRA	Middleblocker	1981	192	COL	
2010-2011	A2	Dahlia Tv Busnago	7	ZUCCOLLO FEDERICA	Libero	1992	179	ITA	
2010-2011	A2	Dahlia Tv Busnago	8	BROGNOLI ILARIA	Libero	1980	174	ITA	
2010-2011	A2	Dahlia Tv Busnago	9	DEMICHELIS ILARIA	Setter	1987	179	ITA	
2010-2011	A2	Dahlia Tv Busnago	10	BONETTI MARIKA	Spiker	1984	177	ITA	
2010-2011	A2	Dahlia Tv Busnago	13	LABATE ALESSANDRA	Middleblocker	1981	188	ITA	
2010-2011	A2	Dahlia Tv Busnago	17	GIOVANNINI CRISTIANA	Spiker	1981	177	ITA	
2010-2011	A2	Dahlia Tv Busnago	18	GIORIA SONIA	Setter	1978	173	ITA	from 13/02/2011
2010-2011	A2	Esse-ti Loreto	1	MASTRODICASA FEDERICA	Middleblocker	1988	182	ITA	
2010-2011	A2	Esse-ti Loreto	2	AGOSTINETTO GIULIA	Setter	1987	179	ITA	
2010-2011	A2	Esse-ti Loreto	3	ALICINO FRANCESCA	Libero	1981	176	ITA	until 13/01/2011
2010-2011	A2	Esse-ti Loreto	4	ORAZI LUDOVICA	Spiker	1987	189	ITA	
2010-2011	A2	Esse-ti Loreto	6	CIBELE LUCINDO AUGUSTA BARBOZA	Spiker	1981	182	BRA	
2010-2011	A2	Esse-ti Loreto	7	GIULIODORI SARA	Middleblocker	1983	180	ITA	
2010-2011	A2	Esse-ti Loreto	8	VALLESE ANTONIETTA	Libero	1983	165	ITA	
2010-2011	A2	Esse-ti Loreto	9	SANTINI ALICE	Spiker	1984	181	ITA	
2010-2011	A2	Esse-ti Loreto	10	CAPONE ELEONORA	Libero	1992	168	ITA	from 13/02/2011
2010-2011	A2	Esse-ti Loreto	11	PIATTELLA MARTINA	Setter	1987	172	ITA	
2010-2011	A2	Esse-ti Loreto	12	PIETRELLI GIULIA	Spiker	1988	175	ITA	
2010-2011	A2	Esse-ti Loreto	13	FERRANTI SIMONA	Middleblocker	1980	186	ITA	
2010-2011	A2	Esse-ti Loreto	15	VORONINA TETYANA	Spiker	1977	187	UKR	
2010-2011	A2	Famila Generali Chieri	1	CORVESE VIVIANA	Middleblocker	1978	187	ITA	
2010-2011	A2	Famila Generali Chieri	2	BORGOGNO CHIARA	Middleblocker	1984	192	ITA	
2010-2011	A2	Famila Generali Chieri	3	MAUTINO BRUNA	Spiker	1990	180	ITA	
2010-2011	A2	Famila Generali Chieri	4	COLOMBI ALESSANDRA	Setter	1983	172	ITA	until 05/01/2011
2010-2011	A2	Famila Generali Chieri	5	ZETOVA ANTONINA	Spiker	1973	189	BUL	
2010-2011	A2	Famila Generali Chieri	7	GIOGOLI FRANCESCA	Setter	1983	175	ITA	
2010-2011	A2	Famila Generali Chieri	8	ARIMATTEI SOFIA	Spiker	1981	186	ITA	
2010-2011	A2	Famila Generali Chieri	9	SOROKAITE INDRE	Spiker	1988	187	ITA	
2010-2011	A2	Famila Generali Chieri	10	PAVLOVIC MARIJA	Spiker	1985	185	SRB	
2010-2011	A2	Famila Generali Chieri	11	LA ROSA SIMONA	Middleblocker	1992	188	ITA	
2010-2011	A2	Famila Generali Chieri	13	BORRI MAURIZIA	Libero	1977	177	ITA	
2010-2011	A2	Famila Generali Chieri	15	ZAURI ROSSANA	Libero	1991	172	ITA	
2010-2011	A2	Famila Generali Chieri	17	DI CRESCENZO MANUELA	Setter	1988	182	ITA	from 15/02/2011
2010-2011	A2	Frigorcarni Soverato	1	BALLARINI MOANA	Libero	1987	158	ITA	
2010-2011	A2	Frigorcarni Soverato	3	DELLA ROSA GIULIA	Setter	1984	189	ITA	
2010-2011	A2	Frigorcarni Soverato	4	BOTTIGLIONE ROBERTA	Middleblocker	1984	184	ITA	
2010-2011	A2	Frigorcarni Soverato	5	SCIL? GABRIELLA	Spiker	1981	181	ITA	
2010-2011	A2	Frigorcarni Soverato	6	CAPUANO PAOLA	Spiker	1978	183	ITA	
2010-2011	A2	Frigorcarni Soverato	7	SPACCAROTELLA SANDRA	Libero	1976	170	ITA	
2010-2011	A2	Frigorcarni Soverato	8	RUBINI GIULIA	Spiker	1990	181	ITA	
2010-2011	A2	Frigorcarni Soverato	9	BOKAN TATJANA	Spiker	1988	186	MNE	
2010-2011	A2	Frigorcarni Soverato	10	PELUSO ELISA	Setter	1978	175	ITA	
2010-2011	A2	Frigorcarni Soverato	11	VANNI YLENIA	Middleblocker	1984	184	ITA	
2010-2011	A2	Frigorcarni Soverato	14	TSEKOVA PETYA LYUBOMIROVA	Spiker	1986	190	BUL	
2010-2011	A2	Icos Crema	1	LUCIANI NICOLETTA	Middleblocker	1979	185	ITA	
2010-2011	A2	Icos Crema	4	DROZINA ELENA	Setter	1978	181	ITA	
