Season,Division,Championship,Phase,Day,Game,Match No,DMY,Time,Spettatori,Incasso,Casa/Ospite,Team,Club,P.No,Name,Libero,C,Voto,Set1,Set2,Set3,Set4,Set5,Point_Tot,Point_BP,Point_VP,Service_N,Service_Err,Service_Pt,Reception_N,Reception_Err,Reception_Pos%,Reception_Prf%,Spike_N,Spike_Err,Spike_Blocked,Spike_Pt,Spike_Pt%,Block_Invasion,Block_Pt,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,3,28/9/2024,20:30,2515 ,€ 16328 ,C,Cucine Lube Civitanova,Lube,24,Tenorio Davi,-,-,-,-,*,5 ,-,-,1,-,-1,4,1,-,1,-,1.00 ,1.00 ,2,-,-,1,0.50 ,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,3,28/9/2024,20:30,2515 ,€ 16328 ,O,Sonepar Padova,Padova,1,Stefani Tommaso,-,-,-,*,-,*,*,-,1,1,-1,-,-,-,-,-,-,-,4,-,2,-,-,-,1,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,3,28/9/2024,20:30,2515 ,€ 16328 ,O,Sonepar Padova,Padova,2,Masulovic Veljko,-,-,-,5,5,6 ,5,-,12,5,-,15,4,-,2,2,-,-,26,3,-,11,0.42 ,-,1,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,3,28/9/2024,20:30,2515 ,€ 16328 ,O,Sonepar Padova,Padova,3,Mayo Liberman Shay,-,-,-,*,-,*,*,-,2,-,-,4,1,-,3,-,0.67 ,0.67 ,5,-,1,2,0.40 ,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,3,28/9/2024,20:30,2515 ,€ 16328 ,O,Sonepar Padova,Padova,4,Diez Benjamin,L,-,-,*,*,*,*,-,-,-,-,-,-,-,21,-,0.67 ,0.48 ,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,3,28/9/2024,20:30,2515 ,€ 16328 ,O,Sonepar Padova,Padova,5,Falaschi Marco,-,-,-,2,2,3 ,2,-,-,-,-2,13,1,-,-,-,-,-,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,3,28/9/2024,20:30,2515 ,€ 16328 ,O,Sonepar Padova,Padova,7,Sedlacek Marko,-,-,-,6,6,1 ,6,-,14,3,-2,8,3,-,25,2,0.32 ,0.16 ,27,5,3,13,0.48 ,-,1,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,3,28/9/2024,20:30,2515 ,€ 16328 ,O,Sonepar Padova,Padova,8,Plak Fabian,-,-,-,4,4,5 ,4,-,10,2,4,18,1,2,1,-,-,-,12,-,-,8,0.67 ,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,3,28/9/2024,20:30,2515 ,€ 16328 ,O,Sonepar Padova,Padova,9,Toscani Alessandro,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,3,28/9/2024,20:30,2515 ,€ 16328 ,O,Sonepar Padova,Padova,10,Galiazzo Luca,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,3,28/9/2024,20:30,2515 ,€ 16328 ,O,Sonepar Padova,Padova,11,Pedron Matteo,-,-,-,-,-,*,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,3,28/9/2024,20:30,2515 ,€ 16328 ,O,Sonepar Padova,Padova,12,Bergamasco Francesco,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,3,28/9/2024,20:30,2515 ,€ 16328 ,O,Sonepar Padova,Padova,17,Porro Luca,-,-,-,3,3,4 ,3,-,7,-,-9,15,6,-,23,1,0.52 ,0.22 ,25,2,2,7,0.28 ,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,3,28/9/2024,20:30,2515 ,€ 16328 ,O,Sonepar Padova,Padova,18,Truocchio Andrea,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,3,28/9/2024,20:30,2515 ,€ 16328 ,O,Sonepar Padova,Padova,22,Crosato Federico,-,-,-,1,1,2 ,1,-,11,3,9,16,1,1,3,-,0.67 ,0.33 ,9,-,-,7,0.78 ,-,3,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,4,29/9/2024,18:00,2418 ,€ 18083 ,C,Cisterna Volley,Cisterna,3,Fanizza Alessandro,-,-,-,*,*,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,4,29/9/2024,18:00,2418 ,€ 18083 ,C,Cisterna Volley,Cisterna,4,Finauri Alessandro,L,-,-,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,4,29/9/2024,18:00,2418 ,€ 18083 ,C,Cisterna Volley,Cisterna,7,Ramon Jordi,-,-,-,3,2,3 ,2,-,15,4,-2,16,6,-,46,-,0.52 ,0.28 ,27,5,1,11,0.41 ,-,4,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,4,29/9/2024,18:00,2418 ,€ 18083 ,C,Cisterna Volley,Cisterna,8,Pace Domenico,L,-,-,*,*,*,*,-,-,-,-1,-,-,-,14,1,0.64 ,0.36 ,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,4,29/9/2024,18:00,2418 ,€ 18083 ,C,Cisterna Volley,Cisterna,9,Tarumi Yuga,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,4,29/9/2024,18:00,2418 ,€ 18083 ,C,Cisterna Volley,Cisterna,10,Tosti Jacopo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,4,29/9/2024,18:00,2418 ,€ 18083 ,C,Cisterna Volley,Cisterna,11,Faure Theo,-,-,-,2,1,2 ,1,-,21,5,15,14,4,-,-,-,-,-,36,2,-,21,0.58 ,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,4,29/9/2024,18:00,2418 ,€ 18083 ,C,Cisterna Volley,Cisterna,12,Diamantini Enrico,-,-,-,1,6,1 ,6,-,4,-,-2,13,2,-,1,-,1.00 ,-,10,-,-,4,0.40 ,-,-,,,,
2024/2025,SuperLega,Regular_Season,1st,1,-,4,29/9/2024,18:00,2418 ,€ 18083 ,C,Cisterna Volley,Cisterna,14,Czerwinski Michael,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
