Season,Division,Championship,Phase,Day,Game,Match No,DMY,Time,Spettatori,Incasso,Casa/Ospite,Team,Club,P.No,Name,Libero,C,Voto,Set1,Set2,Set3,Set4,Set5,Point_Tot,Point_BP,Point_VP,Service_N,Service_Err,Service_Pt,Reception_N,Reception_Err,Reception_Pos%,Reception_Prf%,Spike_N,Spike_Err,Spike_Blocked,Spike_Pt,Spike_Pt%,Block_Invasion,Block_Pt,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,2,20/10/2025 ,20:30 ,3.292 ,€ 20.514 ,O,Gas Sales Bluenergy Piacenza ,Piacenza,27,Loreti Luca,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,2,20/10/2025 ,20:30 ,3.292 ,€ 20.514 ,O,Gas Sales Bluenergy Piacenza ,Piacenza,31,Seddik Joris,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,3,20/10/2025 ,20:00 ,2.913 ,€ 18.130 ,C,Allianz Milano ,Milano,2,Staforini Matteo,-,-,-,*,-,*,*,*,1,1,1,6,-,1,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,3,20/10/2025 ,20:00 ,2.913 ,€ 18.130 ,C,Allianz Milano ,Milano,3,Recine Francesco,-,-,-,5,5,3 ,3,5,16,7,1,17,3,2,23,2,0.48 ,0.26 ,37,-,5,14,0.38 ,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,3,20/10/2025 ,20:00 ,2.913 ,€ 18.130 ,C,Allianz Milano ,Milano,4,Ichino Tommaso,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,3,20/10/2025 ,20:00 ,2.913 ,€ 18.130 ,C,Allianz Milano ,Milano,5,Catania Damiano,L,-,-,*,*,*,*,*,-,-,-,-,-,-,27,-,0.63 ,0.30 ,-,-,-,-,-,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,3,20/10/2025 ,20:00 ,2.913 ,€ 18.130 ,C,Allianz Milano ,Milano,7,Reggers Ferre,-,-,-,4,4,2 ,2,4,28,9,10,23,4,3,4,-,-,-,47,2,8,23,0.49 ,-,2,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,3,20/10/2025 ,20:00 ,2.913 ,€ 18.130 ,C,Allianz Milano ,Milano,8,Masulovic Nemanja,-,-,-,3,3,1 ,1,3,7,5,3,14,-,1,6,-,0.50 ,0.33 ,5,-,-,2,0.40 ,-,4,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,3,20/10/2025 ,20:00 ,2.913 ,€ 18.130 ,C,Allianz Milano ,Milano,9,Barbanti Leonardo,-,-,-,1,1,5 ,5,1,3,2,-,19,-,-,-,-,-,-,2,-,-,2,1.00 ,-,1,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,3,20/10/2025 ,20:00 ,2.913 ,€ 18.130 ,C,Allianz Milano ,Milano,10,Lindqvist Veikka,-,-,-,*,-,-,*,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,3,20/10/2025 ,20:00 ,2.913 ,€ 18.130 ,C,Allianz Milano ,Milano,13,Benacchio Alessandro,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
