Division,Season,Team,Club,No,Player,Role,Nationality,Height,Birth year,,,
A1,2025/2026,Numia Vero Volley Milano,Vero Volley,16,Khalia Lanier,Schiacciatrice,USA,186,1998,,,
A1,2025/2026,Numia Vero Volley Milano,Vero Volley,18,Paola Egonu,Opposto,ITA,193,1998,,,
A1,2025/2026,Numia Vero Volley Milano,Vero Volley,19,Vita Akimova,Opposto,RUS,197,2002,,,
A1,2025/2026,Numia Vero Volley Milano,Vero Volley,25,Rebecca Piva,Schiacciatrice,ITA,186,2001,,,
A1,2025/2026,Numia Vero Volley Milano,Vero Volley,80,Eleonora Fersino,Libero,ITA,169,2000,,,
A1,2025/2026,Omag-Mt San Giovanni In M.No,San Giovanni In Marignano,1,Serena Ortolani,Opposto,ITA,187,1987,,,
A1,2025/2026,Omag-Mt San Giovanni In M.No,San Giovanni In Marignano,2,Martina Bracchi,Schiacciatrice,ITA,182,2002,,,
A1,2025/2026,Omag-Mt San Giovanni In M.No,San Giovanni In Marignano,4,Cecilia Nicolini,Palleggiatrice,ITA,181,1994,,,
A1,2025/2026,Omag-Mt San Giovanni In M.No,San Giovanni In Marignano,6,Edinara Brancher,Opposto,BRA,184,1996,,,
A1,2025/2026,Omag-Mt San Giovanni In M.No,San Giovanni In Marignano,8,Anna Piovesan,Schiacciatrice,ITA,188,2004,,,
A1,2025/2026,Omag-Mt San Giovanni In M.No,San Giovanni In Marignano,9,Sveva Parini,Centrale,ITA,185,2001,,,
A1,2025/2026,Omag-Mt San Giovanni In M.No,San Giovanni In Marignano,10,Dalia Wilson,Centrale,TUR,194,2004,,,
A1,2025/2026,Omag-Mt San Giovanni In M.No,San Giovanni In Marignano,11,Elizaveta Kochurina,Centrale,RUS,190,2002,,,
A1,2025/2026,Omag-Mt San Giovanni In M.No,San Giovanni In Marignano,12,Agata Tellone,Libero,ITA,165,2002,,,
A1,2025/2026,Omag-Mt San Giovanni In M.No,San Giovanni In Marignano,13,Sara Panetoni,Libero,ITA,177,2000,,,
A1,2025/2026,Omag-Mt San Giovanni In M.No,San Giovanni In Marignano,16,Sara Caruso,Centrale,ITA,193,2001,,,
A1,2025/2026,Omag-Mt San Giovanni In M.No,San Giovanni In Marignano,17,Alice Nardo,Schiacciatrice,ITA,182,2002,,,
A1,2025/2026,Prosecco Doc A.Carraro Imoco Conegliano,Imoco Volley Conegliano,1,Gabriela Braga Guimaraes,Schiacciatrice,BRA,183,1994,,,
A1,2025/2026,Prosecco Doc A.Carraro Imoco Conegliano,Imoco Volley Conegliano,4,Ting Zhu,Schiacciatrice,CHN,198,1994,,,
A1,2025/2026,Prosecco Doc A.Carraro Imoco Conegliano,Imoco Volley Conegliano,5,Serena Scognamillo,Libero,ITA,170,2001,,,
A1,2025/2026,Prosecco Doc A.Carraro Imoco Conegliano,Imoco Volley Conegliano,6,Jenna Ewert,Palleggiatrice,USA,179,2000,,,
A1,2025/2026,Prosecco Doc A.Carraro Imoco Conegliano,Imoco Volley Conegliano,9,Marina Lubian,Centrale,ITA,192,2000,,,
A1,2025/2026,Prosecco Doc A.Carraro Imoco Conegliano,Imoco Volley Conegliano,10,Monica De Gennaro,Libero,ITA,173,1987,,,
A1,2025/2026,Prosecco Doc A.Carraro Imoco Conegliano,Imoco Volley Conegliano,11,Isabelle Haak,Opposto,SWE,194,1999,,,
A1,2025/2026,Prosecco Doc A.Carraro Imoco Conegliano,Imoco Volley Conegliano,13,Matilde Munarini,Centrale,ITA,186,2004,,,
A1,2025/2026,Prosecco Doc A.Carraro Imoco Conegliano,Imoco Volley Conegliano,14,Joanna Wolosz,Palleggiatrice,POL,181,1990,,,
A1,2025/2026,Prosecco Doc A.Carraro Imoco Conegliano,Imoco Volley Conegliano,15,Merit Chinenyenwa Adigwe,Opposto,ITA,183,2006,,,
A1,2025/2026,Prosecco Doc A.Carraro Imoco Conegliano,Imoco Volley Conegliano,16,Nika Daalderop,Schiacciatrice,NED,190,1998,,,
A1,2025/2026,Prosecco Doc A.Carraro Imoco Conegliano,Imoco Volley Conegliano,18,Cristina Chirichella,Centrale,ITA,195,1994,,,
A1,2025/2026,Prosecco Doc A.Carraro Imoco Conegliano,Imoco Volley Conegliano,19,Sarah Fahr,Centrale,ITA,192,2001,,,
A1,2025/2026,Prosecco Doc A.Carraro Imoco Conegliano,Imoco Volley Conegliano,23,Fatoumatta Sillah,Schiacciatrice,SLO,186,2002,,,
A1,2025/2026,Reale Mutua Fenera Chieri '76,Fenera Chieri '76,1,Karla Antunovic,Palleggiatrice,CRO,183,2002,,,
A1,2025/2026,Reale Mutua Fenera Chieri '76,Fenera Chieri '76,2,Alice Degradi,Schiacciatrice,ITA,181,1996,,,
A1,2025/2026,Reale Mutua Fenera Chieri '76,Fenera Chieri '76,4,Laura Kunzler,Schiacciatrice,SUI,189,1996,,,
A1,2025/2026,Reale Mutua Fenera Chieri '76,Fenera Chieri '76,5,Ilaria Spirito,Libero,ITA,175,1994,,,
A1,2025/2026,Reale Mutua Fenera Chieri '76,Fenera Chieri '76,7,Sofia Ferrarini,Centrale,ITA,186,2001,,,
A1,2025/2026,Reale Mutua Fenera Chieri '76,Fenera Chieri '76,8,Carola Bonafede,Libero,ITA,175,2007,,,
A1,2025/2026,Reale Mutua Fenera Chieri '76,Fenera Chieri '76,9,Sara Alberti,Centrale,ITA,185,1993,,,
A1,2025/2026,Reale Mutua Fenera Chieri '76,Fenera Chieri '76,10,Sarah Van Aalen,Palleggiatrice,NED,186,2000,,,
A1,2025/2026,Reale Mutua Fenera Chieri '76,Fenera Chieri '76,11,Stella Nervini,Schiacciatrice,ITA,184,2003,,,
A1,2025/2026,Reale Mutua Fenera Chieri '76,Fenera Chieri '76,12,Halimatou Bah,Schiacciatrice,FRA,187,2003,,,
A1,2025/2026,Reale Mutua Fenera Chieri '76,Fenera Chieri '76,13,Anett Németh,Opposto,HUN,188,1999,,,
A1,2025/2026,Reale Mutua Fenera Chieri '76,Fenera Chieri '76,14,Anastasia Cekulaev,Centrale,GER,191,2003,,,
A1,2025/2026,Reale Mutua Fenera Chieri '76,Fenera Chieri '76,15,Elles Dambrink,Opposto,NED,187,2003,,,
A1,2025/2026,Reale Mutua Fenera Chieri '76,Fenera Chieri '76,17,Anna Gray,Centrale,ITA,187,1996,,,
A1,2025/2026,Savino Del Bene Scandicci,Savino Del Bene Scandicci,2,Gaia Traballi,Schiacciatrice,ITA,183,1997,,,
A1,2025/2026,Savino Del Bene Scandicci,Savino Del Bene Scandicci,3,Marta Bechis,Palleggiatrice,ITA,180,1989,,,
A1,2025/2026,Savino Del Bene Scandicci,Savino Del Bene Scandicci,4,Avery Skinner,Schiacciatrice,USA,186,1999,,,
A1,2025/2026,Savino Del Bene Scandicci,Savino Del Bene Scandicci,5,Brenda Castillo,Libero,DOM,167,1992,,,
A1,2025/2026,Savino Del Bene Scandicci,Savino Del Bene Scandicci,6,Lindsey Ora Ruddins,Opposto,USA,188,1997,,,
A1,2025/2026,Savino Del Bene Scandicci,Savino Del Bene Scandicci,7,Sarah Franklin,Schiacciatrice,USA,193,2002,,,
A1,2025/2026,Savino Del Bene Scandicci,Savino Del Bene Scandicci,8,Manuela Ribechi,Libero,ITA,172,2004,,,
A1,2025/2026,Savino Del Bene Scandicci,Savino Del Bene Scandicci,9,Caterina Bosetti,Schiacciatrice,ITA,180,1994,,,
A1,2025/2026,Savino Del Bene Scandicci,Savino Del Bene Scandicci,10,Maja Ognjenovic,Palleggiatrice,SRB,183,1984,,,
A1,2025/2026,Savino Del Bene Scandicci,Savino Del Bene Scandicci,11,Giulia Mancini,Centrale,ITA,183,1998,,,
A1,2025/2026,Savino Del Bene Scandicci,Savino Del Bene Scandicci,13,Emma Graziani,Centrale,ITA,193,2002,,,
A1,2025/2026,Savino Del Bene Scandicci,Savino Del Bene Scandicci,14,Linda Nwakalor,Centrale,ITA,187,2002,,,
A1,2025/2026,Savino Del Bene Scandicci,Savino Del Bene Scandicci,17,Ekaterina Antropova,Opposto,ITA,202,2003,,,
A1,2025/2026,Savino Del Bene Scandicci,Savino Del Bene Scandicci,21,Camilla Weitzel,Centrale,GER,195,2000,,,
A1,2025/2026,Wash4green Monviso Volley,Pallavolo Pinerolo,1,Ulrike Bridi,Palleggiatrice,ITA,182,1998,,,
A1,2025/2026,Wash4green Monviso Volley,Pallavolo Pinerolo,2,Anna Dodson,Centrale,USA,196,2001,,,
A1,2025/2026,Wash4green Monviso Volley,Pallavolo Pinerolo,5,Mija Siftar,Schiacciatrice,SLO,189,2006,,,
A1,2025/2026,Wash4green Monviso Volley,Pallavolo Pinerolo,6,Sofia D'Odorico,Schiacciatrice,ITA,186,1997,,,
A1,2025/2026,Wash4green Monviso Volley,Pallavolo Pinerolo,7,Amandha Sylves,Centrale,FRA,196,2000,,,
A1,2025/2026,Wash4green Monviso Volley,Pallavolo Pinerolo,8,Silvia Bussoli,Schiacciatrice,ITA,184,1993,,,
A1,2025/2026,Wash4green Monviso Volley,Pallavolo Pinerolo,9,Ilaria Battistoni,Palleggiatrice,ITA,174,1996,,,
A1,2025/2026,Wash4green Monviso Volley,Pallavolo Pinerolo,10,Ilenia Moro,Libero,ITA,178,1999,,,
A1,2025/2026,Wash4green Monviso Volley,Pallavolo Pinerolo,11,Lena Kindermann,Opposto,GER,190,1999,,,
A1,2025/2026,Wash4green Monviso Volley,Pallavolo Pinerolo,12,Danielle Harbin,Opposto,USA,185,1995,,,
A1,2025/2026,Wash4green Monviso Volley,Pallavolo Pinerolo,15,Rebecca Scialanca,Libero,ITA,165,2005,,,
A1,2025/2026,Wash4green Monviso Volley,Pallavolo Pinerolo,16,Elena Rapello,Centrale,ITA,186,2008,,,
A1,2025/2026,Wash4green Monviso Volley,Pallavolo Pinerolo,18,Yasmina Akrari,Centrale,ITA,185,1993,,,
